rank,model_id,downloads,likes,model_type,architectures,parameters (str),parameters,library,is_gated,is_moe,config_class,is_supported,Year
1,Qwen/Qwen3-0.6B,18506640,1248,qwen3,Qwen3ForCausalLM,0.6B,600000000,transformers,False,False,Qwen3Config,True,2025
2,openai-community/gpt2,16285281,3241,gpt2,GPT2LMHeadModel,0.14B,137022720,transformers,False,False,GPT2Config,False,2022
3,Qwen/Qwen2.5-1.5B-Instruct,13212301,700,qwen2,Qwen2ForCausalLM,1.5B,1500000000,transformers,False,False,Qwen2Config,True,2024
4,Qwen/Qwen2.5-7B-Instruct,12767574,1281,qwen2,Qwen2ForCausalLM,7B,7000000000,transformers,False,False,Qwen2Config,True,2024
5,Qwen/Qwen3-8B,11578295,1092,qwen3,Qwen3ForCausalLM,8B,8000000000,transformers,False,False,Qwen3Config,True,2025
6,meta-llama/Llama-3.1-8B-Instruct,10442933,5848,llama,LlamaForCausalLM,8B,8000000000,transformers,True,False,,False,2024
7,facebook/opt-125m,9187482,251,opt,OPTForCausalLM,,,transformers,False,False,OPTConfig,False,2022
8,Qwen/Qwen2.5-3B-Instruct,8766219,457,qwen2,Qwen2ForCausalLM,3B,3000000000,transformers,False,False,Qwen2Config,True,2024
9,openai/gpt-oss-20b,7550707,4614,gpt_oss,GptOssForCausalLM,20b,20000000000,transformers,False,False,GptOssConfig,False,2025
10,meta-llama/Llama-3.2-1B-Instruct,7532787,1406,llama,LlamaForCausalLM,1B,1000000000,transformers,True,False,,False,2024
11,Qwen/Qwen3-4B,7072532,612,qwen3,Qwen3ForCausalLM,4B,4000000000,transformers,False,False,Qwen3Config,True,2025
12,Qwen/Qwen3-32B,6983568,692,qwen3,Qwen3ForCausalLM,32B,32000000000,transformers,False,False,Qwen3Config,True,2025
13,Qwen/Qwen3-4B-Instruct-2507,6945398,846,qwen3,Qwen3ForCausalLM,4B,4000000000,transformers,False,False,Qwen3Config,True,2025
14,trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,5944279,6,qwen2,Qwen2ForCausalLM,0.0B,2428632,transformers,False,False,Qwen2Config,True,2024
15,Qwen/Qwen2.5-0.5B-Instruct,4914173,516,qwen2,Qwen2ForCausalLM,0.5B,500000000,transformers,False,False,Qwen2Config,True,2024
16,dphn/dolphin-2.9.1-yi-1.5-34b,4729954,63,llama,LlamaForCausalLM,34b,34000000000,transformers,False,False,LlamaConfig,True,2024
17,openai/gpt-oss-120b,4710558,4781,gpt_oss,GptOssForCausalLM,120b,120000000000,transformers,False,False,GptOssConfig,False,2025
18,Qwen/Qwen2-1.5B-Instruct,4513176,162,qwen2,Qwen2ForCausalLM,1.5B,1500000000,transformers,False,False,Qwen2Config,True,2024
19,deepseek-ai/DeepSeek-V3.2,4242111,1434,deepseek_v32,DeepseekV32ForCausalLM,685B,685396921376,transformers,False,True,,False,2025
20,deepseek-ai/DeepSeek-R1,3781049,13330,deepseek_v3,DeepseekV3ForCausalLM,685B,684531386000,transformers,False,True,DeepseekV3Config,False,2025
21,Qwen/Qwen3Guard-Gen-0.6B,3720548,73,qwen3,Qwen3ForCausalLM,0.6B,600000000,transformers,False,False,Qwen3Config,True,2025
22,Qwen/Qwen3-1.7B,3550364,471,qwen3,Qwen3ForCausalLM,1.7B,1700000000,transformers,False,False,Qwen3Config,True,2025
23,deepseek-ai/DeepSeek-V4-Pro,3435748,4022,deepseek_v4,DeepseekV4ForCausalLM,862B,861608274846,transformers,False,True,DeepseekV4Config,False,2026
24,hmellor/tiny-random-LlamaForCausalLM,3424268,0,llama,LlamaForCausalLM,0.0B,1062992,transformers,False,False,LlamaConfig,True,2025
25,mistralai/Mistral-7B-Instruct-v0.2,3268730,3140,mistral,MistralForCausalLM,7B,7000000000,transformers,False,False,MistralConfig,True,2023
26,distilbert/distilgpt2,3152245,629,gpt2,GPT2LMHeadModel,0.09B,88204032,transformers,False,False,GPT2Config,False,2022
27,EleutherAI/pythia-160m,3029707,42,gpt_neox,GPTNeoXForCausalLM,,,transformers,False,False,GPTNeoXConfig,False,2023
28,meta-llama/Meta-Llama-3-8B,2792249,6535,llama,LlamaForCausalLM,8B,8000000000,transformers,True,False,,False,2024
29,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2682394,1586,llama,LlamaForCausalLM,1.1B,1100000000,transformers,False,False,LlamaConfig,True,2023
30,google/gemma-3-270m,2681918,1023,gemma3_text,Gemma3ForCausalLM,0.27B,268098176,transformers,True,False,,False,2025
31,Qwen/Qwen2.5-14B-Instruct,2517536,336,qwen2,Qwen2ForCausalLM,14B,14000000000,transformers,False,False,Qwen2Config,True,2024
32,Qwen/Qwen2.5-Coder-7B-Instruct,2462717,709,qwen2,Qwen2ForCausalLM,7B,7000000000,transformers,False,False,Qwen2Config,True,2024
33,Qwen/Qwen2.5-0.5B,2418498,404,qwen2,Qwen2ForCausalLM,0.5B,500000000,transformers,False,False,Qwen2Config,True,2024
